Username,Font Size (pt),Elapsed Time (s)
Number 1,8,11.313
Number 1,12,9.415
Number 1,16,7.596
Number 1,20,8.754
Number 1,24,9.204
Number 1,28,9.575
Number 1,32,11.456
Number 2,8,10.464
Number 2,12,10.784
Number 2,16,6.866
Number 2,20,7.68
Number 2,24,10.894
Number 2,28,11.287
Number 2,32,13.83
Number 3,8,18.449
Number 3,12,18.004
Number 3,16,15.605
Number 3,20,17.275
Number 3,24,17.027
Number 3,28,17.362
Number 3,32,18.34
Number 4,8,9.067
Number 4,12,10.222
Number 4,16,10.137
Number 4,20,10.924
Number 4,24,10.41
Number 4,28,6.928
Number 4,32,9.289
Number 3,8,17.699
Number 3,12,14.456
Number 3,16,17.586
Number 3,20,16.663
Number 3,24,17.635
Number 3,28,17.222
Number 3,32,16.38
Number 4,8,10.316
Number 4,12,10.07
Number 4,16,10.376
Number 4,20,9.46
Number 4,24,10.184
Number 4,28,7.268
Number 4,32,8.9
Number 1,8,15.729
Number 1,12,13.159
Number 1,16,11.893
Number 1,20,12.608
Number 1,24,11.979
Number 1,28,13.162
Number 1,32,13.311
Number 2,8,9.303
Number 2,12,8.649
Number 2,16,11.392
Number 2,20,10.265
Number 2,24,10.504
Number 2,28,11.067
Number 2,32,11.496
Number 5,8,8.965
Number 5,12,8.282
Number 5,16,7.105
Number 5,20,8.133
Number 5,24,8.41
Number 5,28,8.619
Number 5,32,8.289
Number 6,8,12.341
Number 6,12,12.627
Number 6,16,12.347
Number 6,20,11.391
Number 6,24,12.133
Number 6,28,12.556
Number 6,32,12.54
Number 2,8,11.657
Number 2,12,11.075
Number 2,16,11.252
Number 2,20,11.245
Number 2,24,13.146
Number 2,28,9.969
Number 2,32,13.415
Number 4,8,10.291
Number 4,12,11.93
Number 4,16,9.867
Number 4,20,9.504
Number 4,24,9.206
Number 4,28,10.901
Number 4,32,7.11
Number 1,8,11.733
Number 1,12,11.157
Number 1,16,11.477
Number 1,20,11.469
Number 1,24,11.718
Number 1,28,10.523
Number 1,32,10.613
Number 3,8,17.152
Number 3,12,16.471
Number 3,16,16.698
Number 3,20,17.211
Number 3,24,17.921
Number 3,28,17.74
Number 3,32,17.088
Number 5,8,6.81
Number 5,12,8.125
Number 5,16,6.653
Number 5,20,7.169
Number 5,24,7.586
Number 5,28,7.814
Number 5,32,7.976
Number 6,8,10.699
Number 6,12,10.554
Number 6,16,10.619
Number 6,20,10.226
Number 6,24,10.344
Number 6,28,9.89
Number 6,32,10.726
Number 5,8,7.479
Number 5,12,8.552
Number 5,16,8.078
Number 5,20,8.752
Number 5,24,9.191
Number 5,28,8.045
Number 5,32,8.787
Number 6,8,9.733
Number 6,12,10.531
Number 6,16,11.004
Number 6,20,11.031
Number 6,24,11.859
Number 6,28,11.574
Number 6,32,10.457
